YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
1990,1,0.0057,-0.0785,-0.0427,0.0272,-0.0176,-0.0223,-0.0245,-0.0101,-0.028,-0.0268
1990,2,0.0057,0.0111,-0.0753,0.0335,-0.0025,-0.0279,-0.0203,-0.0089,-0.04,0.0097
1990,3,0.0064,0.0183,-0.1104,-0.1417,-0.0057,-0.0242,0.0067,0.0009,-0.0047,0.0257
1990,4,0.0069,-0.0336,-0.0146,0.0652,-0.0161,-0.0037,-0.0015,-0.0174,-0.0223,-0.0073
1990,5,0.0068,0.0842,0.1076,0.0753,0.0228,0.0295,0.0113,-0.0142,-0.0071,0.0237
1990,6,0.0063,-0.0109,-0.0149,0.0283,0.0097,0.0171,0.0127,-0.0218,0.0013,0.0147
1990,7,0.0068,-0.019,0.0075,0.0814,0.007,0.0449,0.0147,0.0757,-0.0248,0.0082
1990,8,0.0066,-0.1015,-0.1034,-0.1342,-0.02,-0.0101,-0.0449,0.1593,-0.0677,-0.0411
1990,9,0.006,-0.0612,-0.1451,-0.1337,0.0023,0.0052,-0.0502,0.2234,-0.0753,-0.0256
1990,10,0.0068,-0.0192,0.1493,-0.0254,0.0059,0.0611,-0.0315,-0.0673,-0.0418,-0.0072
1990,11,0.0057,0.0635,-0.0644,-0.0579,0.0158,0.0068,0.0028,-0.0713,0.058,0.0018
1990,12,0.006,0.0246,0.0106,0.0363,0.0096,-0.0014,0.0084,-0.0257,-0.0056,0.0075
1991,1,0.0052,0.0469,0.0274,0.0756,0.0072,0.0335,0.0089,-0.0991,0.0824,0.0207
1991,2,0.0048,0.0719,0.1027,0.1431,0.0037,-0.0066,0.0694,0.0091,0.0444,0.0354
1991,3,0.0044,0.0265,-0.0642,0.0367,0.0025,-0.0774,0.0375,0.0332,0.0718,0.0451
1991,4,0.0053,-0.0028,0.0048,0.0052,0.0055,0.0073,0.0314,0.0173,0.0185,0.0081
1991,5,0.0047,0.0365,0.006,0.0738,0.0011,-0.0065,0.0002,-0.0052,0.0189,0.0151
1991,6,0.0042,-0.0494,-0.0774,-0.0399,-0.0047,-0.0274,0.0152,-0.0279,-0.0301,-1E-04
1991,7,0.0049,0.0424,0.0445,0.0469,0.009,0.0239,0.0198,0.0462,0.0144,0.0213
1991,8,0.0046,0.0232,-0.0247,0.0165,0.017,0.0136,0.0161,0.0108,-0.004,0.016
1991,9,0.0046,-0.0159,0.0521,-0.0429,0.0157,0.0528,0.0085,0.0033,0.0147,0.0186
1991,10,0.0042,0.0129,0.0102,0.0366,0.0069,0.0092,0.0255,0.0245,-0.0104,0.0141
1991,11,0.0039,-0.0419,-0.0503,-0.0188,0.0053,0.0142,0.0073,-0.0443,-0.0037,-0.0012
1991,12,0.0038,0.1084,0.0482,0.1086,0.0259,0.0661,0.0082,-0.0746,0.0435,0.0357
1992,1,0.0034,-0.0059,-0.0245,0.1124,-0.017,-0.0223,0.0316,0.0241,0.0461,0.035
1992,2,0.0028,0.0109,-0.0383,0.0416,0.0037,-0.0152,0.0217,-0.0138,-0.026,0.0186
1992,3,0.0034,-0.0266,-0.0691,0.0304,-0.009,-0.0175,0.0109,0.0078,-0.0183,0.0025
1992,4,0.0032,0.0107,0.0018,-0.0101,0.004,0.002,0.0041,0.0267,-0.001,-0.0002
1992,5,0.0028,0.003,0.0644,-0.0064,0.0161,0.0438,0.0125,0.0241,0.0294,0.0156
1992,6,0.0032,-0.0234,-0.0503,-0.1024,0.0106,0.036,0.0098,-0.0087,-0.0153,-0.0073
1992,7,0.0031,0.0377,-0.0284,0.0078,0.0173,0.0178,0.0172,-0.017,0.0307,0.0177
1992,8,0.0026,-0.0238,0.0605,-0.0492,0.0075,0.039,0.0106,-0.0016,-0.0112,-0.0053
1992,9,0.0026,0.0119,-0.022,0.0008,0.0093,-0.0141,0.0088,0.0089,0.0213,0.0168
1992,10,0.0023,0.0102,-0.0545,0.0512,-0.0156,-0.0407,-0.0152,-0.0243,-0.0056,0.0188
1992,11,0.0023,0.0413,0.0074,-0.0131,-0.0021,-0.0289,0.0122,-0.0151,0.0172,0.0257
1992,12,0.0028,0.0153,0.0027,0.0266,0.0131,-0.0003,0.0101,-0.0005,0.0165,0.0225
